

Hres 	Vres 	Refresh 	HSync 	ModeLine
576 	384 	55 Hz 	44.1576 kHz 	ModeLine "576x384" 32.50 576 589 657 736 384 385 388 403 +HSync +VSync DoubleScan
576 	432 	75 Hz 	67.5 kHz 	ModeLine "576x432" 54.00 576 608 672 800 432 432 434 450 +HSync +VSync DoubleScan
576 	432 	85 Hz 	77.4872 kHz 	ModeLine "576x432" 60.75 576 608 672 784 432 432 434 455 +HSync -VSync DoubleScan
640 	350 	85 Hz 	37.8606 kHz 	ModeLine "640x350" 31.50 640 672 736 832 350 382 385 445 +HSync -VSync
640 	384 	60 Hz 	47.7024 kHz 	ModeLine "640x384" 40.07 640 672 740 840 384 384 386 397 +HSync +VSync DoubleScan
640 	400 	60 Hz 	49.6786 kHz 	ModeLine "640x400" 41.73 640 672 740 840 400 400 402 414 +HSync +VSync DoubleScan
640 	400 	85 Hz 	37.8606 kHz 	ModeLine "640x400" 31.50 640 672 736 832 400 401 404 445 -HSync +VSync
640 	480 	60 Hz 	31.5 kHz 	ModeLine "640x480" 25.20 640 656 752 800 480 490 492 525 -HSync -VSync
640 	480 	60 Hz 	60 kHz 		ModeLine "640x480" 54.00 640 688 744 900 480 480 482 500 +HSync +VSync DoubleScan
640 	480 	73 Hz 	37.8606 kHz 	ModeLine "640x480" 31.50 640 664 704 832 480 489 491 520 -HSync -VSync
640 	480 	75 Hz 	37.5 kHz 	ModeLine "640x480" 31.50 640 656 720 840 480 481 484 500 -HSync -VSync
640 	480 	85 Hz 	43.2692 kHz 	ModeLine "640x480" 36.00 640 696 752 832 480 481 484 509 -HSync -VSync
640 	480 	85 Hz 	85.9375 kHz 	ModeLine "640x480" 74.25 640 672 752 864 480 480 482 505 +HSync +VSync DoubleScan
640 	512 	60 Hz 	63.981 kHz 	ModeLine "640x512" 54.00 640 664 720 844 512 512 514 533 +HSync +VSync DoubleScan
640 	512 	75 Hz 	79.9763 kHz 	ModeLine "640x512" 67.50 640 648 720 844 512 512 514 533 +HSync +VSync DoubleScan
640 	512 	85 Hz 	91.1458 kHz 	ModeLine "640x512" 78.75 640 672 752 864 512 512 514 536 +HSync +VSync DoubleScan
700 	525 	60 Hz 	64.8936 kHz 	ModeLine "700x525" 61.00 700 744 820 940 525 526 532 541 +HSync +VSync DoubleScan
700 	525 	70 Hz 	77.0408 kHz 	ModeLine "700x525" 75.50 700 732 828 980 525 525 527 550 +HSync +VSync DoubleScan
700 	525 	75 Hz 	81.4854 kHz 	ModeLine "700x525" 77.90 700 732 892 956 525 526 532 545 +HSync +VSync DoubleScan
700 	525 	85 Hz 	93.8776 kHz 	ModeLine "700x525" 92.00 700 732 828 980 525 525 527 550 +HSync +VSync DoubleScan
720 	400 	85 Hz 	37.9274 kHz 	ModeLine "720x400" 35.50 720 756 828 936 400 401 404 446 -HSync +VSync
720 	450 	60 Hz 	56.9247 kHz 	ModeLine "720x450" 54.42 720 736 940 956 450 459 463 473 +HSync +VSync DoubleScan
800 	512 	60 Hz 	64.012 kHz 	ModeLine "800x512" 53.45 800 810 820 835 512 513 515 533 -HSync -VSync DoubleScan
800 	600 	56 Hz 	35.1562 kHz 	ModeLine "800x600" 36.00 800 824 896 1024 600 601 603 625 +HSync +VSync
800 	600 	60 Hz 	37.8788 kHz 	ModeLine "800x600" 40.00 800 840 968 1056 600 601 605 628 +HSync +VSync
800 	600 	60 Hz 	75 kHz 		ModeLine "800x600" 81.00 800 832 928 1080 600 600 602 625 +HSync +VSync DoubleScan
800 	600 	65 Hz 	81.25 kHz 	ModeLine "800x600" 87.75 800 832 928 1080 600 600 602 625 +HSync +VSync DoubleScan
800 	600 	70 Hz 	87.5 kHz 	ModeLine "800x600" 94.50 800 832 928 1080 600 600 602 625 +HSync +VSync DoubleScan
800 	600 	72 Hz 	48.0769 kHz 	ModeLine "800x600" 50.00 800 856 976 1040 600 637 643 666 +HSync +VSync
800 	600 	75 Hz 	93.75 kHz 	ModeLine "800x600" 101.25 800 832 928 1080 600 600 602 625 +HSync +VSync DoubleScan
800 	600 	75 Hz 	46.875 kHz 	ModeLine "800x600" 49.50 800 816 896 1056 600 601 604 625 +HSync +VSync
800 	600 	85 Hz 	106.25 kHz 	ModeLine "800x600" 114.75 800 832 928 1080 600 600 602 625 +HSync +VSync DoubleScan
800 	600 	85 Hz 	53.7214 kHz 	ModeLine "800x600" 56.30 800 832 896 1048 600 601 604 631 +HSync +VSync
832 	624 	75 Hz 	49.7222 kHz 	ModeLine "832x624" 57.28 832 864 928 1152 624 625 628 667 -HSync -VSync
840 	525 	60 Hz 	65.2216 kHz 	ModeLine "840x525" 73.57 840 892 984 1128 525 525 527 543 +HSync +VSync DoubleScan
896 	672 	60 Hz 	83.6601 kHz 	ModeLine "896x672" 102.40 896 960 1060 1224 672 672 674 697 -HSync +VSync DoubleScan
896 	672 	75 Hz 	106.27 kHz 	ModeLine "896x672" 130.50 896 944 1052 1228 672 672 674 708 -HSync +VSync DoubleScan
928 	696 	60 Hz 	86.3528 kHz 	ModeLine "928x696" 109.15 928 976 1088 1264 696 696 698 719 -HSync +VSync DoubleScan
928 	696 	75 Hz 	112.5 kHz 	ModeLine "928x696" 144.00 928 992 1104 1280 696 696 698 750 -HSync +VSync DoubleScan
960 	600 	60 Hz 	74.5216 kHz 	ModeLine "960x600" 96.58 960 1024 1128 1296 600 600 602 621 +HSync +VSync DoubleScan
960 	600 	73 Hz 	90.981 kHz 	ModeLine "960x600" 115.00 960 968 1048 1264 600 600 602 625 -HSync -VSync DoubleScan
960 	720 	60 Hz 	90 kHz 		ModeLine "960x720" 117.00 960 1024 1128 1300 720 720 722 750 -HSync +VSync DoubleScan
960 	720 	75 Hz 	112.5 kHz 	ModeLine "960x720" 148.50 960 1032 1144 1320 720 720 722 750 -HSync +VSync DoubleScan
960 	720 	85 Hz 	128.524 kHz 	ModeLine "960x720" 170.68 960 1036 1144 1328 720 720 722 756 -HSync +VSync DoubleScan
1024 	768 	60 Hz 	95.3357 kHz 	ModeLine "1024x768" 133.47 1024 1100 1212 1400 768 768 770 794 -HSync +VSync DoubleScan
1024 	768 	60 Hz 	48.3631 kHz 	ModeLine "1024x768" 65.00 1024 1048 1184 1344 768 771 777 806 -HSync -VSync
1024 	768 	70 Hz 	56.4759 kHz 	ModeLine "1024x768" 75.00 1024 1048 1184 1328 768 771 777 806 -HSync -VSync
1024 	768 	75 Hz 	120.226 kHz 	ModeLine "1024x768" 170.24 1024 1108 1220 1416 768 768 770 801 -HSync +VSync DoubleScan
1024 	768 	75 Hz 	60.061 kHz 	ModeLine "1024x768" 78.80 1024 1040 1136 1312 768 769 772 800 +HSync +VSync
1024 	768 	85 Hz 	137.02 kHz 	ModeLine "1024x768" 194.02 1024 1108 1220 1416 768 768 770 806 -HSync +VSync DoubleScan
1024 	768 	85 Hz 	68.6773 kHz 	ModeLine "1024x768" 94.50 1024 1072 1168 1376 768 769 772 808 +HSync +VSync
1024 	768 	87 Hz 	35.5222 kHz 	ModeLine "1024x768" 44.90 1024 1032 1208 1264 768 768 776 817 +HSync +VSync Interlace
1152 	768 	55 Hz 	44.1576 kHz 	ModeLine "1152x768" 65.00 1152 1178 1314 1472 768 771 777 806 +HSync +VSync
1152 	864 	75 Hz 	67.5 kHz 	ModeLine "1152x864" 108.00 1152 1216 1344 1600 864 865 868 900 +HSync +VSync
1152 	864 	85 Hz 	77.4872 kHz 	ModeLine "1152x864" 121.50 1152 1216 1344 1568 864 865 868 911 +HSync -VSync
1280 	768 	60 Hz 	47.7024 kHz 	ModeLine "1280x768" 80.14 1280 1344 1480 1680 768 769 772 795 +HSync +VSync
1280 	800 	60 Hz 	49.6786 kHz 	ModeLine "1280x800" 83.46 1280 1344 1480 1680 800 801 804 828 +HSync +VSync
1280 	960 	60 Hz 	60 kHz 		ModeLine "1280x960" 108.00 1280 1376 1488 1800 960 961 964 1000 +HSync +VSync
1280 	960 	85 Hz 	85.9375 kHz 	ModeLine "1280x960" 148.50 1280 1344 1504 1728 960 961 964 1011 +HSync +VSync
1280 	1024 	60 Hz 	63.981 kHz 	ModeLine "1280x1024" 108.00 1280 1328 1440 1688 1024 1025 1028 1066 +HSync +VSync
1280 	1024 	75 Hz 	79.9763 kHz 	ModeLine "1280x1024" 135.00 1280 1296 1440 1688 1024 1025 1028 1066 +HSync +VSync
1280 	1024 	85 Hz 	91.1458 kHz 	ModeLine "1280x1024" 157.50 1280 1344 1504 1728 1024 1025 1028 1072 +HSync +VSync
1400 	1050 	60 Hz 	64.8936 kHz 	ModeLine "1400x1050" 122.00 1400 1488 1640 1880 1050 1052 1064 1082 +HSync +VSync
1400 	1050 	70 Hz 	77.0408 kHz 	ModeLine "1400x1050" 151.00 1400 1464 1656 1960 1050 1051 1054 1100 +HSync +VSync
1400 	1050 	75 Hz 	81.4854 kHz 	ModeLine "1400x1050" 155.80 1400 1464 1784 1912 1050 1052 1064 1090 +HSync +VSync
1400 	1050 	85 Hz 	93.8776 kHz 	ModeLine "1400x1050" 184.00 1400 1464 1656 1960 1050 1051 1054 1100 +HSync +VSync
1440 	900 	60 Hz 	56.9247 kHz 	ModeLine "1440x900" 108.84 1440 1472 1880 1912 900 918 927 946 +HSync +VSync
1600 	1024 	60 Hz 	64.018 kHz 	ModeLine "1600x1024" 106.91 1600 1620 1640 1670 1024 1027 1030 1067 -HSync -VSync
1600 	1200 	60 Hz 	75 kHz 		ModeLine "1600x1200" 162.00 1600 1664 1856 2160 1200 1201 1204 1250 +HSync +VSync
1600 	1200 	65 Hz 	81.25 kHz 	ModeLine "1600x1200" 175.50 1600 1664 1856 2160 1200 1201 1204 1250 +HSync +VSync
1600 	1200 	70 Hz 	87.5 kHz 	ModeLine "1600x1200" 189.00 1600 1664 1856 2160 1200 1201 1204 1250 +HSync +VSync
1600 	1200 	75 Hz 	93.75 kHz 	ModeLine "1600x1200" 202.50 1600 1664 1856 2160 1200 1201 1204 1250 +HSync +VSync
1600 	1200 	85 Hz 	106.25 kHz 	ModeLine "1600x1200" 229.50 1600 1664 1856 2160 1200 1201 1204 1250 +HSync +VSync
1680 	1050 	60 Hz 	65.2216 kHz 	ModeLine "1680x1050" 147.14 1680 1784 1968 2256 1050 1051 1054 1087 +HSync +VSync
1792 	1344 	60 Hz 	83.6601 kHz 	ModeLine "1792x1344" 204.80 1792 1920 2120 2448 1344 1345 1348 1394 -HSync +VSync
1792 	1344 	75 Hz 	106.27 kHz 	ModeLine "1792x1344" 261.00 1792 1888 2104 2456 1344 1345 1348 1417 -HSync +VSync
1856 	1392 	60 Hz 	86.3528 kHz 	ModeLine "1856x1392" 218.30 1856 1952 2176 2528 1392 1393 1396 1439 -HSync +VSync
1856 	1392 	75 Hz 	112.5 kHz 	ModeLine "1856x1392" 288.00 1856 1984 2208 2560 1392 1393 1396 1500 -HSync +VSync
1920 	1200 	60 Hz 	74.5216 kHz 	ModeLine "1920x1200" 193.16 1920 2048 2256 2592 1200 1201 1204 1242 +HSync +VSync
1920 	1200 	73 Hz 	90.981 kHz 	ModeLine "1920x1200" 230.00 1920 1936 2096 2528 1200 1201 1204 1250 -HSync -VSync
1920 	1440 	60 Hz 	90 kHz 		ModeLine "1920x1440" 234.00 1920 2048 2256 2600 1440 1441 1444 1500 -HSync +VSync
1920 	1440 	75 Hz 	112.5 kHz 	ModeLine "1920x1440" 297.00 1920 2064 2288 2640 1440 1441 1444 1500 -HSync +VSync
1920 	1440 	85 Hz 	128.52 kHz 	ModeLine "1920x1440" 341.35 1920 2072 2288 2656 1440 1441 1444 1512 -HSync +VSync
2048 	1536 	60 Hz 	95.3393 kHz 	ModeLine "2048x1536" 266.95 2048 2200 2424 2800 1536 1537 1540 1589 -HSync +VSync
2048 	1536 	75 Hz 	120.226 kHz 	ModeLine "2048x1536" 340.48 2048 2216 2440 2832 1536 1537 1540 1603 -HSync +VSync
2048 	1536 	85 Hz 	137.02 kHz 	ModeLine "2048x1536" 388.04 2048 2216 2440 2832 1536 1537 1540 1612 -HSync +VSync


VESA ModePool

640 	350 	85 Hz 	37.8606 kHz 	ModeLine "640x350" 31.50 640 672 736 832 350 382 385 445 +HSync -VSync
640 	400 	85 Hz 	37.8606 kHz 	ModeLine "640x400" 31.50 640 672 736 832 400 401 404 445 -HSync +VSync
640 	480 	60 Hz 	31.475 kHz 	ModeLine "640x480" 25.18 640 656 752 800 480 490 492 525 -HSync -VSync
640 	480 	73 Hz 	37.8606 kHz 	ModeLine "640x480" 31.50 640 664 704 832 480 489 492 520 -HSync -VSync
640 	480 	75 Hz 	37.5 kHz 	ModeLine "640x480" 31.50 640 656 720 840 480 481 484 500 -HSync -VSync
640 	480 	85 Hz 	43.2692 kHz 	ModeLine "640x480" 36.00 640 696 752 832 480 481 484 509 -HSync -VSync
720 	400 	85 Hz 	37.9274 kHz 	ModeLine "720x400" 35.50 720 756 828 936 400 401 404 446 -HSync +VSync
800 	600 	56 Hz 	35.1562 kHz 	ModeLine "800x600" 36.00 800 824 896 1024 600 601 603 625 +HSync +VSync
800 	600 	60 Hz 	37.8788 kHz 	ModeLine "800x600" 40.00 800 840 968 1056 600 601 605 628 +HSync +VSync
800 	600 	72 Hz 	48.0769 kHz 	ModeLine "800x600" 50.00 800 856 976 1040 600 637 643 666 +HSync +VSync
800 	600 	75 Hz 	46.875 kHz 	ModeLine "800x600" 49.50 800 816 896 1056 600 601 604 625 +HSync +VSync
800 	600 	85 Hz 	53.7214 kHz 	ModeLine "800x600" 56.30 800 832 896 1048 600 601 604 631 +HSync +VSync
1024 	768 	60 Hz 	48.3631 kHz 	ModeLine "1024x768" 65.00 1024 1048 1184 1344 768 771 777 806 -HSync -VSync
1024 	768 	70 Hz 	56.4759 kHz 	ModeLine "1024x768" 75.00 1024 1048 1184 1328 768 771 777 806 -HSync -VSync
1024 	768 	75 Hz 	60.0229 kHz 	ModeLine "1024x768" 78.75 1024 1040 1136 1312 768 769 772 800 +HSync +VSync
1024 	768 	85 Hz 	68.6773 kHz 	ModeLine "1024x768" 94.50 1024 1072 1168 1376 768 769 772 808 +HSync +VSync
1024 	768 	87 Hz 	35.5222 kHz 	ModeLine "1024x768" 44.90 1024 1032 1208 1264 768 768 776 817 +HSync +VSync Interlace
1152 	864 	75 Hz 	67.5 kHz 	ModeLine "1152x864" 108.00 1152 1216 1344 1600 864 865 868 900 +HSync +VSync
1280 	960 	60 Hz 	60 kHz 		ModeLine "1280x960" 108.00 1280 1376 1488 1800 960 961 964 1000 +HSync +VSync
1280 	960 	85 Hz 	85.9375 kHz 	ModeLine "1280x960" 148.50 1280 1344 1504 1728 960 961 964 1011 +HSync +VSync
1280 	1024 	60 Hz 	63.981 kHz 	ModeLine "1280x1024" 108.00 1280 1328 1440 1688 1024 1025 1028 1066 +HSync +VSync
1280 	1024 	75 Hz 	79.9763 kHz 	ModeLine "1280x1024" 135.00 1280 1296 1440 1688 1024 1025 1028 1066 +HSync +VSync
1280 	1024 	85 Hz 	91.1458 kHz 	ModeLine "1280x1024" 157.50 1280 1344 1504 1728 1024 1025 1028 1072 +HSync +VSync
1600 	1200 	60 Hz 	75 kHz 		ModeLine "1600x1200" 162.00 1600 1664 1856 2160 1200 1201 1204 1250 +HSync +VSync
1600 	1200 	65 Hz 	81.25 kHz 	ModeLine "1600x1200" 175.50 1600 1664 1856 2160 1200 1201 1204 1250 +HSync +VSync
1600 	1200 	70 Hz 	87.5 kHz 	ModeLine "1600x1200" 189.00 1600 1664 1856 2160 1200 1201 1204 1250 +HSync +VSync
1600 	1200 	75 Hz 	93.75 kHz 	ModeLine "1600x1200" 202.50 1600 1664 1856 2160 1200 1201 1204 1250 +HSync +VSync
1600 	1200 	85 Hz 	106.25 kHz 	ModeLine "1600x1200" 229.50 1600 1664 1856 2160 1200 1201 1204 1250 +HSync +VSync
1792 	1344 	60 Hz 	83.6601 kHz 	ModeLine "1792x1344" 204.80 1792 1920 2120 2448 1344 1345 1348 1394 -HSync +VSync
1792 	1344 	75 Hz 	106.27 kHz 	ModeLine "1792x1344" 261.00 1792 1888 2104 2456 1344 1345 1348 1417 -HSync +VSync
1856 	1392 	60 Hz 	86.3528 kHz 	ModeLine "1856x1392" 218.30 1856 1952 2176 2528 1392 1393 1396 1439 -HSync +VSync
1856 	1392 	75 Hz 	112.5 kHz 	ModeLine "1856x1392" 288.00 1856 1984 2208 2560 1392 1393 1396 1500 -HSync +VSync
1920 	1440 	60 Hz 	90 kHz 		ModeLine "1920x1440" 234.00 1920 2048 2256 2600 1440 1441 1444 1500 -HSync +VSync
1920 	1440 	75 Hz 	112.5 kHz 	ModeLine "1920x1440" 297.00 1920 2064 2288 2640 1440 1441 1444 1500 -HSync +VSync


CVT ModePool

1920 	1080 	60 Hz 	66.587 kHz 	ModeLine "1920x1080" 138.500 1920 1968 2000 2080 1080 1083 1088 1111 +hsync -vsync
1920 	1080 	50 Hz 	55.62 kHz 	Modeline "1920x1080_50" 141.50 1920 2032 2232 2544 1080 1083 1088 1114 -HSync +Vsync


HDTV EDID ModePool

640 	480 	60 Hz 	31.4625 kHz 	ModeLine "640x480" 25.17 640 656 752 800 480 490 492 525 -HSync -VSync
720 	480 	60 Hz 	15.7343 kHz 	ModeLine "720x480" 13.50 720 739 801 858 480 488 494 524 -HSync -VSync Interlace
720 	480 	60 Hz 	31.4685 kHz 	ModeLine "720x480" 27.00 720 736 798 858 480 489 495 525 -HSync -VSync
720 	576 	50 Hz 	15.625 kHz 	ModeLine "720x576" 13.50 720 732 795 864 576 580 586 624 -HSync -VSync Interlace
720 	576 	50 Hz 	31.25 kHz 	ModeLine "720x576" 27.00 720 732 796 864 576 581 586 625 -HSync -VSync
800 	600 	60 Hz 	37.8788 kHz 	ModeLine "800x600" 40.00 800 840 968 1056 600 601 605 628 +HSync +VSync
1024 	768 	60 Hz 	48.3631 kHz 	ModeLine "1024x768" 65.00 1024 1048 1184 1344 768 771 777 806 -HSync -VSync
1280 	720 	50 Hz 	37.5 kHz 	ModeLine "1280x720" 74.25 1280 1720 1760 1980 720 725 730 750 +HSync +VSync
1280 	720 	60 Hz 	44.9576 kHz 	ModeLine "1280x720" 74.18 1280 1390 1430 1650 720 725 730 750 +HSync +VSync
1280 	720 	60 Hz 	45 kHz 		ModeLine "1280x720" 74.25 1280 1390 1430 1650 720 725 730 750 +HSync +VSync
1280 	768 	60 Hz 	47.3958 kHz 	ModeLine "1280x768" 68.25 1280 1328 1360 1440 768 771 778 790 +HSync +VSync
1280 	1024 	60 Hz 	63.981 kHz 	ModeLine "1280x1024" 108.00 1280 1328 1440 1688 1024 1025 1028 1066 +HSync +VSync
1360 	768 	60 Hz 	47.7121 kHz 	ModeLine "1360x768" 85.50 1360 1424 1536 1792 768 771 778 795 -HSync -VSync
1440 	480 	60 Hz 	15.7343 kHz 	ModeLine "720x480" 27.00 1440 1478 1602 1716 480 488 494 524 -HSync -VSync Interlace
1440 	576 	50 Hz 	15.625 kHz 	ModeLine "720x576" 27.00 1440 1464 1590 1728 576 580 586 624 -HSync -VSync Interlace
1920 	1080 	24 Hz 	26.9673 kHz 	ModeLine "1920x1080" 74.16 1920 2558 2602 2750 1080 1084 1089 1125 +HSync +VSync
1920 	1080 	25 Hz 	28.125 kHz 	ModeLine "1920x1080" 74.25 1920 2448 2492 2640 1080 1084 1089 1125 +HSync +VSync
1920 	1080 	30 Hz 	33.7159 kHz 	ModeLine "1920x1080" 89.01 1920 2448 2492 2640 1080 1084 1089 1125 +HSync +VSync
1920 	1080 	50 Hz 	56.25 kHz 	ModeLine "1920x1080" 148.50 1920 2448 2492 2640 1080 1084 1089 1125 +HSync +VSync
1920 	1080 	50 Hz 	28.125 kHz 	ModeLine "1920x1080" 74.25 1920 2448 2492 2640 1080 1084 1094 1124 +HSync +VSync Interlace
1920 	1080 	60 Hz 	67.4318 kHz 	ModeLine "1920x1080" 148.35 1920 2008 2052 2200 1080 1084 1089 1125 +HSync +VSync
1920 	1080 	60 Hz 	67.5 kHz 	ModeLine "1920x1080" 148.50 1920 2008 2052 2200 1080 1084 1088 1125 -HSync -VSync
1920 	1080 	60 Hz 	33.7182 kHz 	ModeLine "1920x1080" 74.18 1920 2008 2052 2200 1080 1084 1094 1124 +HSync +VSync Interlace


NTSC525 itu-r/bt: 470 601 656

712 	486 	29.97 Hz 	15.7 kHz 	ModeLine "712x486@30i" 13.5 712 736 799 858 486 492 498 525 interlace -hsync -vsync
704 	480 	29.97 Hz 	15.7 kHz 	ModeLine "704x480@30i" 13.5 704 728 791 858 480 486 492 525 interlace -hsync -vsync
720 	480 	29.97 Hz 	15.7 kHz 	ModeLine "720x480@30i" 13.5 720 736 799 858 480 486 492 525 interlace -hsync -vsync


PAL625 itu-r/bt: 470 601 656

702 	576 	25 Hz 	15.6 kHz 	ModeLine "702x576@25i" 13.5 702 722 785 864 576 581 586 625 interlace -hsync -vsync
704 	576 	25 Hz 	15.6 kHz 	ModeLine "704x576@25i" 13.5 704 723 786 864 576 581 586 625 interlace -hsync -vsync
720 	576 	25 Hz 	15.6 kHz 	ModeLine "720x576@25i" 13.5 720 732 795 864 576 581 586 625 interlace -hsync -vsync
768 	576 	25 Hz 	15.6 kHz 	ModeLine "768x576@25i" 14.75 768 789 858 944 576 581 586 625 interlace -hsync -vsync
720 	576 	50 Hz 	31.2 kHz 	ModeLine "720x576@50" 27 720 732 795 864 576 581 586 625 -hsync -vsync
768 	576 	50 Hz 	31.2 kHz 	ModeLine "768x576@50" 29.5 768 789 858 944 576 581 586 625 -hsync -vsync


DVD ModePool

720 	480 	59.94 		ModeLine "NTSC-DVD-59.94i" 13.5 720 736 800 858 480 484 492 525 Interlace
720 	480 	60 Hz 		ModeLine "NTSC-DVD-60i" 13.514 720 736 800 858 480 484 492 525 Interlace
720 	480 	59.94 		ModeLine "NTSC-DVD-59.94p" 27.0 720 736 800 858 480 484 492 525
720 	480 	60 Hz 		ModeLine "NTSC-DVD-60p" 27.027 720 736 800 858 480 484 492 525
720 	480 	71.93 		ModeLine "NTSC-DVD-71.93p" 32.4 720 736 800 858 480 484 492 525
720 	480 	72 Hz 		ModeLine "NTSC-DVD-72p" 32.432 720 736 800 858 480 484 492 525
720 	480 	119.88 		ModeLine "NTSC-DVD-119.88p" 54.0 720 736 800 858 480 484 492 525
720 	480 	120 Hz 		ModeLine "NTSC-DVD-120p" 54.054 720 736 800 858 480 484 492 525


ATSC Standard Modes

720 	480 	59.94 		ModeLine "ATSC-480-59.94i" 11.958 640 664 736 760 480 484 492 525 Interlace
720 	480 	60 Hz 		ModeLine "ATSC-480-60i" 11.97 640 664 736 760 480 484 492 525 Interlace
720 	480 	59.94 		ModeLine "ATSC-480-59.94p" 23.916 640 664 736 760 480 484 492 525
720 	480 	60 Hz 		ModeLine "ATSC-480-60p" 23.94 640 664 736 760 480 484 492 525
720 	480 	59.94 		ModeLine "ATSC-480a-59.94i" 11.958 640 664 736 760 480 484 492 525 Interlace
720 	480 	60 Hz 		ModeLine "ATSC-480a-60i" 11.97 640 664 736 760 480 484 492 525 Interlace
720 	480 	59.94 		ModeLine "ATSC-480a-59.94p" 23.916 640 664 736 760 480 484 492 525
720 	480 	60 Hz 		ModeLine "ATSC-480a-60p" 23.94 640 664 736 760 480 484 492 525
1280 	720 	59.94 		ModeLine "ATSC-720-59.94p" 74.176 1280 1320 1376 1650 720 722 728 750
1280 	720 	60 Hz 		ModeLine "ATSC-720-60p" 74.25 1280 1320 1376 1650 720 722 728 750
1920 	1080 	59.94 		ModeLine "ATSC-1080-59.94i" 74.176 1920 1960 2016 2200 1080 1082 1088 1125 Interlace
1920 	1080 	60 Hz 		ModeLine "ATSC-1080-60i" 74.25 1920 1960 2016 2200 1080 1082 1088 1125 Interlace
1920 	1080 	59.94 		ModeLine "ATSC-1080-59.94p" 148.352 1920 1960 2016 2200 1080 1082 1088 1125
1920 	1080 	60 Hz 		ModeLine "ATSC-1080-60p" 148.5 1920 1960 2016 2200 1080 1082 1088 1125


ATSC Movie Modes

720 	480 	71.93 		ModeLine "ATSC-480-71.93p" 28.699 640 664 736 760 480 484 492 525
720 	480 	72 Hz 		ModeLine "ATSC-480-72p" 28.728 640 664 736 760 480 484 492 525
720 	480 	119.88 		ModeLine "ATSC-480-119.88p" 47.832 640 664 736 760 480 484 492 525
720 	480 	120 Hz 		ModeLine "ATSC-480-120p" 47.88 640 664 736 760 480 484 492 525
1280 	720 	71.93 		ModeLine "ATSC-720-71.93p" 89.011 1280 1296 1360 1650 720 722 728 750
1280 	720 	72 Hz 		ModeLine "ATSC-720-72p" 89.1 1280 1296 1360 1650 720 722 728 750
1280 	720 	119.88 		ModeLine "ATSC-720-119.88p" 148.351 1280 1296 1360 1650 720 722 728 750
1280 	720 	120 Hz 		ModeLine "ATSC-720-120p" 148.5 1280 1296 1360 1650 720 722 728 750
1920 	1080 	71.93 		ModeLine "ATSC-1080-71.93i" 1920 1960 2016 2200 1080 1082 1088 1125 Interlace
1920 	1080 	72 Hz 		ModeLine "ATSC-1080-72i" 1920 1960 2016 2200 1080 1082 1088 1125 Interlace
1920 	1080 	119.88 		ModeLine "ATSC-1080-71.93p" 178.022 1920 1960 2016 2200 1080 1082 1088 1125
